index	prediction
504	entailment
505	entailment
506	entailment
507	entailment
508	entailment
509	entailment
510	entailment
511	entailment
512	entailment
513	entailment
514	entailment
515	entailment
516	entailment
517	entailment
518	entailment
519	entailment
520	entailment
521	entailment
522	entailment
523	entailment
524	entailment
525	entailment
526	entailment
527	entailment
528	entailment
529	entailment
530	entailment
531	entailment
532	entailment
533	entailment
534	entailment
535	entailment
536	entailment
537	entailment
538	entailment
539	entailment
540	entailment
541	entailment
542	entailment
543	entailment
544	entailment
545	entailment
546	entailment
547	entailment
548	entailment
549	entailment
550	entailment
551	entailment
552	entailment
553	entailment
554	entailment
555	entailment
556	entailment
557	entailment
558	entailment
559	entailment
560	entailment
561	entailment
562	entailment
563	entailment
564	entailment
565	entailment
566	entailment
567	entailment
568	entailment
569	entailment
570	entailment
571	entailment
572	entailment
573	entailment
574	entailment
575	entailment
576	entailment
577	entailment
578	entailment
579	entailment
580	entailment
581	entailment
582	entailment
583	entailment
584	entailment
585	entailment
586	entailment
587	entailment
588	entailment
589	entailment
590	entailment
591	entailment
592	entailment
593	entailment
594	entailment
595	entailment
596	entailment
597	entailment
598	entailment
599	entailment
600	entailment
601	entailment
602	entailment
603	entailment
604	entailment
605	entailment
606	entailment
607	entailment
608	entailment
609	entailment
610	entailment
611	entailment
612	entailment
613	entailment
614	entailment
615	entailment
616	entailment
617	entailment
618	entailment
619	entailment
620	entailment
621	entailment
622	entailment
623	entailment
624	entailment
625	entailment
626	entailment
627	entailment
628	entailment
629	entailment
630	entailment
631	entailment
632	entailment
633	entailment
634	entailment
635	entailment
636	entailment
637	entailment
638	entailment
639	entailment
640	entailment
641	entailment
642	entailment
643	entailment
644	entailment
645	entailment
646	entailment
647	entailment
648	entailment
649	entailment
650	entailment
651	entailment
652	entailment
653	entailment
654	entailment
655	entailment
656	entailment
657	entailment
658	entailment
659	entailment
660	entailment
661	entailment
662	entailment
663	entailment
664	entailment
665	entailment
666	entailment
667	entailment
668	entailment
669	entailment
670	entailment
671	entailment
672	entailment
673	entailment
674	entailment
675	entailment
676	entailment
677	entailment
678	entailment
679	entailment
680	entailment
681	entailment
682	entailment
683	entailment
684	entailment
685	entailment
686	entailment
687	entailment
688	entailment
689	entailment
690	entailment
691	entailment
692	entailment
693	entailment
694	entailment
695	entailment
696	entailment
697	entailment
698	entailment
699	entailment
700	entailment
701	entailment
702	entailment
703	entailment
704	entailment
705	entailment
706	entailment
707	entailment
708	entailment
709	entailment
710	entailment
711	entailment
712	entailment
713	entailment
714	entailment
715	entailment
716	entailment
717	entailment
718	entailment
719	entailment
720	entailment
721	entailment
722	entailment
723	entailment
724	entailment
725	entailment
726	entailment
727	entailment
728	entailment
729	entailment
730	entailment
731	entailment
732	entailment
733	entailment
734	entailment
735	entailment
736	entailment
737	entailment
738	entailment
739	entailment
740	entailment
741	entailment
742	entailment
743	entailment
744	entailment
745	entailment
746	entailment
747	entailment
748	entailment
749	entailment
750	entailment
751	entailment
752	entailment
753	entailment
754	entailment
755	entailment
756	entailment
757	entailment
758	entailment
759	entailment
760	entailment
761	entailment
762	entailment
763	entailment
764	entailment
765	entailment
766	entailment
767	entailment
768	entailment
769	entailment
770	entailment
771	entailment
772	entailment
773	entailment
774	entailment
775	entailment
776	entailment
777	entailment
778	entailment
779	entailment
780	entailment
781	entailment
782	entailment
783	entailment
784	entailment
785	entailment
786	entailment
787	entailment
788	entailment
789	entailment
790	entailment
791	entailment
792	entailment
793	entailment
794	entailment
795	entailment
796	entailment
797	entailment
798	entailment
799	entailment
800	entailment
801	entailment
802	entailment
803	entailment
804	entailment
805	entailment
806	entailment
807	entailment
808	entailment
809	entailment
810	entailment
811	entailment
812	entailment
813	entailment
814	entailment
815	entailment
816	entailment
817	entailment
818	entailment
819	entailment
820	entailment
821	entailment
822	entailment
823	entailment
824	entailment
825	entailment
826	entailment
827	entailment
828	entailment
829	entailment
830	entailment
831	entailment
832	entailment
833	entailment
834	entailment
835	entailment
836	entailment
837	entailment
838	entailment
839	entailment
840	entailment
841	entailment
842	entailment
843	entailment
844	entailment
845	entailment
846	entailment
847	entailment
848	entailment
849	entailment
850	entailment
851	entailment
852	entailment
853	entailment
854	entailment
855	entailment
856	entailment
857	entailment
858	entailment
859	entailment
860	entailment
861	entailment
862	entailment
863	entailment
864	entailment
865	entailment
866	entailment
867	entailment
868	entailment
869	entailment
870	entailment
871	entailment
872	entailment
873	entailment
874	entailment
875	entailment
876	entailment
877	entailment
878	entailment
879	entailment
880	entailment
881	entailment
882	entailment
883	entailment
884	entailment
885	entailment
886	entailment
887	entailment
888	entailment
889	entailment
890	entailment
891	entailment
892	entailment
893	entailment
894	entailment
895	entailment
896	entailment
897	entailment
898	entailment
899	entailment
900	entailment
901	entailment
902	entailment
903	entailment
904	entailment
905	entailment
906	entailment
907	entailment
908	entailment
909	entailment
910	entailment
911	entailment
912	entailment
913	entailment
914	entailment
915	entailment
916	entailment
917	entailment
918	entailment
919	entailment
920	entailment
921	entailment
922	entailment
923	entailment
924	entailment
925	entailment
926	entailment
927	entailment
928	entailment
929	entailment
930	entailment
931	entailment
932	entailment
933	entailment
934	entailment
935	entailment
936	entailment
937	entailment
938	entailment
939	entailment
940	entailment
941	entailment
942	entailment
943	entailment
944	entailment
945	entailment
946	entailment
947	entailment
948	entailment
949	entailment
950	entailment
951	entailment
952	entailment
953	entailment
954	entailment
955	entailment
956	entailment
957	entailment
958	entailment
959	entailment
960	entailment
961	entailment
962	entailment
963	entailment
964	entailment
965	entailment
966	entailment
967	entailment
968	entailment
969	entailment
970	entailment
971	entailment
972	entailment
973	entailment
974	entailment
975	entailment
976	entailment
977	entailment
978	entailment
979	entailment
980	entailment
981	entailment
982	entailment
983	entailment
984	entailment
985	entailment
986	entailment
987	entailment
988	entailment
989	entailment
990	entailment
991	entailment
992	entailment
993	entailment
994	entailment
995	entailment
996	entailment
997	entailment
998	entailment
999	entailment
1000	entailment
1001	entailment
1002	entailment
1003	entailment
1004	entailment
1005	entailment
1006	entailment
1007	entailment
1008	entailment
1009	entailment
1010	entailment
1011	entailment
1012	entailment
1013	entailment
1014	entailment
1015	entailment
1016	entailment
1017	entailment
1018	entailment
1019	entailment
1020	entailment
1021	entailment
1022	entailment
1023	entailment
1024	entailment
1025	entailment
1026	entailment
1027	entailment
1028	entailment
1029	entailment
1030	entailment
1031	entailment
1032	entailment
1033	entailment
1034	entailment
1035	entailment
1036	entailment
1037	entailment
1038	entailment
1039	entailment
1040	entailment
1041	entailment
1042	entailment
1043	entailment
1044	entailment
1045	entailment
1046	entailment
1047	entailment
1048	entailment
1049	entailment
1050	entailment
1051	entailment
1052	entailment
1053	entailment
1054	entailment
1055	entailment
1056	entailment
1057	entailment
1058	entailment
1059	entailment
1060	entailment
1061	entailment
1062	entailment
1063	entailment
1064	entailment
1065	entailment
1066	entailment
1067	entailment
1068	entailment
1069	entailment
1070	entailment
1071	entailment
1072	entailment
1073	entailment
1074	entailment
1075	entailment
1076	entailment
1077	entailment
1078	entailment
1079	entailment
1080	entailment
1081	entailment
1082	entailment
1083	entailment
1084	entailment
1085	entailment
1086	entailment
1087	entailment
1088	entailment
1089	entailment
1090	entailment
1091	entailment
1092	entailment
1093	entailment
1094	entailment
1095	entailment
1096	entailment
1097	entailment
1098	entailment
1099	entailment
1100	entailment
1101	entailment
1102	entailment
1103	entailment
